fonetik,definisyM,"Explication, exemple"
sE,reglu-[],"marque de chainage « d’adjectif  générique », le mot caractérise le même mot que d’ajectif générique précédent"
sL,,
se,se,suffixe marqueur du passé (grammaire)
sG,,
sM,reglu-[],radical pour des objets
sN,,
sA,reglu-[],&&&&&&
sµ,,
so,reglu-[],"radical plutôt lié à la langue, écrit…."
sD,reglu-[],
sa,?,"car, en raison de"
su,+,"+,addition,plus"
sH,reglu-[],&&&&&&
si,reglu-[],"marque de chainage « d’adjectif  générique », le mot caractérise le mot qui lui précède directement"
ze,ze,"Ati, opozisyM"
zo,[]-vuma-*,&&&&&&
za,=,"=, égal, être
Ce chat est mon chat
zu kebyA za ba kebyA"
zu,zu,"équivalent de « ce », désigne un objet dans le contexte"
zH,·,·
zi,<,"marque du comparatif inférieur, moins, plus petit que"
we,w,w
wD,reglu-[],
wa,"wa, []-vuma-*",marque du sexe féminin
wi,reglu-[],&&&&&&
ne,reglu-[],
na,na,parent (radical parental)
nu,reglu-[],"marqueur des temps descriptif
nawa, nadM"
ni,possessif singulier de qi (ri1?ri2),leur
ce,dya,
co,[]-vuma-*,
cD,[]-vuma-*,
Be,B,B
Te,T,« the » anglais
Fµ,F,« ath » anglais
&µ,&,« r » anglais
$µ,$,« gn » de parking
€µ,€,€
